date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:04:45	1081/1081	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2024%20Mar%202024%2014:04:46%20GMT	https://voixoff.ma/robots.txt		(from )
15:04:46	264765/264765	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Mar%202024%2014:04:46%20GMT	https://voixoff.ma/	C:/My%20Web%20Sites/voix/voixoff.ma/index.html	(from )
15:04:49	221258/221258	---M-Z	200	added ('OK')	application/x-javascript	date:Sun,%2024%20Mar%202024%2014:04:48%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/voix/connect.facebook.net/en_US/fbevents.js	(from https://voixoff.ma/)
15:04:49	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2024%20Mar%202024%2014:04:50%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/voix/www.googletagmanager.com/gtm.15445.delayed	(from https://voixoff.ma/)
15:04:50	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%226599bda5-317b%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.3/css/all.min.css	C:/My%20Web%20Sites/voix/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.3/css/all.min.css	(from https://voixoff.ma/)
15:04:50	16670/16670	---M--	200	added ('OK')	image/png	etag:%22411e-65a46029-47d7c6b727b6c72f;;;%22	https://voixoff.ma/public/storage/site/favicon/7FED5D689352E0E3F116.png	C:/My%20Web%20Sites/voix/voixoff.ma/public/storage/site/favicon/7FED5D689352E0E3F116.png	(from https://voixoff.ma/)
15:04:51	250562/250562	---M-Z	200	added ('OK')	text/css	etag:%223d2c2-65c6b98a-1bad4ed4ef6539cd;gz%22	https://voixoff.ma/public/css/app.css?id=67bc1acc539a3ea22494e4aa9f8f34b3	C:/My%20Web%20Sites/voix/voixoff.ma/public/css/appc8ec.css	(from https://voixoff.ma/)
15:04:52	174819/174819	---M-Z	200	added ('OK')	application/x-javascript	etag:%222aae3-652e57eb-1b40eb3346936d47;gz%22	https://voixoff.ma/public/vendor/livewire/livewire.js?id=90730a3b0e7144480175	C:/My%20Web%20Sites/voix/voixoff.ma/public/vendor/livewire/livewire4a5a.js	(from https://voixoff.ma/)
15:04:52	4908/4908	---M-Z	200	added ('OK')	text/css	etag:W/%22132c-v8AxwmpPZx0Tci+iwIno7Hb5FII%22	https://cdn.jsdelivr.net/gh/greghub/green-audio-player/dist/css/green-audio-player.min.css	C:/My%20Web%20Sites/voix/cdn.jsdelivr.net/gh/greghub/green-audio-player/dist/css/green-audio-player.min.css	(from https://voixoff.ma/)
15:04:53	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2024%20Mar%202024%2014:04:54%20GMT	http://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	C:/My%20Web%20Sites/voix/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.7.delayed	(from https://voixoff.ma/)
15:04:53	1776/1776	---M-Z	200	added ('OK')	text/css	etag:W/%226f0-qUoFmzF4tK3sCeMoGs4oGaMAlaQ%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	C:/My%20Web%20Sites/voix/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	(from https://voixoff.ma/)
15:04:54	698902/698902	---MCZ	200	added ('OK')	text/javascript	etag:W/%22f373a64c1bc1d91:0%22	https://downloads-global.3cx.com/downloads/livechatandtalk/v1/callus.js	C:/My%20Web%20Sites/voix/downloads-global.3cx.com/downloads/livechatandtalk/v1/callus.js	(from https://voixoff.ma/)
15:04:55	51364/51364	---M-Z	200	added ('OK')	text/html	date:Sun,%2024%20Mar%202024%2014:04:55%20GMT	https://voixoff.ma/cart	C:/My%20Web%20Sites/voix/voixoff.ma/cart.html	(from https://voixoff.ma/)
15:04:55	46122/46122	---M--	200	added ('OK')	image/png	etag:%22b42a-65988033-498a2ae6ef19e0a5;;;%22	https://voixoff.ma/public/storage/site/logo/C5FC8C873192B914D992.png	C:/My%20Web%20Sites/voix/voixoff.ma/public/storage/site/logo/C5FC8C873192B914D992.png	(from https://voixoff.ma/)
15:04:55	5704/5704	---M--	200	added ('OK')	image/jpeg	etag:%221648-652e57eb-767fdd6cbd2b3d94;;;%22	https://voixoff.ma/public/storage/default/default-placeholder.jpg	C:/My%20Web%20Sites/voix/voixoff.ma/public/storage/default/default-placeholder.jpg	(from https://voixoff.ma/)
15:04:56	142145/142145	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Mar%202024%2014:04:57%20GMT	https://voixoff.ma/start_selling	C:/My%20Web%20Sites/voix/voixoff.ma/start_selling.html	(from https://voixoff.ma/)
15:04:57	29029/29029	---M-Z	200	added ('OK')	text/html	date:Sun,%2024%20Mar%202024%2014:04:57%20GMT	https://voixoff.ma/auth/login	C:/My%20Web%20Sites/voix/voixoff.ma/auth/login.html	(from https://voixoff.ma/)
15:04:57	34674/34674	---M-Z	200	added ('OK')	text/html	date:Sun,%2024%20Mar%202024%2014:04:58%20GMT	https://voixoff.ma/auth/register	C:/My%20Web%20Sites/voix/voixoff.ma/auth/register.html	(from https://voixoff.ma/)
15:05:02	1050459/1050459	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Mar%202024%2014:04:59%20GMT	https://voixoff.ma/categories/MoroccanArabic	C:/My%20Web%20Sites/voix/voixoff.ma/categories/MoroccanArabic.html	(from https://voixoff.ma/)
15:05:07	1049507/1049507	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Mar%202024%2014:04:59%20GMT	https://voixoff.ma/categories/french	C:/My%20Web%20Sites/voix/voixoff.ma/categories/french.html	(from https://voixoff.ma/)
15:05:13	1049388/1049388	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Mar%202024%2014:05:09%20GMT	https://voixoff.ma/categories/fusha	C:/My%20Web%20Sites/voix/voixoff.ma/categories/fusha.html	(from https://voixoff.ma/)
15:05:18	1050033/1050033	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Mar%202024%2014:05:14%20GMT	https://voixoff.ma/categories/fusha/male	C:/My%20Web%20Sites/voix/voixoff.ma/categories/fusha/male.html	(from https://voixoff.ma/)
15:05:24	1050271/1050271	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Mar%202024%2014:05:20%20GMT	https://voixoff.ma/categories/fusha/female	C:/My%20Web%20Sites/voix/voixoff.ma/categories/fusha/female.html	(from https://voixoff.ma/)
15:05:31	1049864/1049864	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Mar%202024%2014:05:26%20GMT	https://voixoff.ma/categories/EnglishUS	C:/My%20Web%20Sites/voix/voixoff.ma/categories/EnglishUS.html	(from https://voixoff.ma/)
15:05:37	1049626/1049626	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Mar%202024%2014:05:32%20GMT	https://voixoff.ma/categories/amazigh	C:/My%20Web%20Sites/voix/voixoff.ma/categories/amazigh.html	(from https://voixoff.ma/)
15:05:43	1049626/1049626	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Mar%202024%2014:05:38%20GMT	https://voixoff.ma/categories/Spanish	C:/My%20Web%20Sites/voix/voixoff.ma/categories/Spanish.html	(from https://voixoff.ma/)
15:05:49	1050340/1050340	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Mar%202024%2014:05:45%20GMT	https://voixoff.ma/categories/africanfrench	C:/My%20Web%20Sites/voix/voixoff.ma/categories/africanfrench.html	(from https://voixoff.ma/)
15:05:55	1050459/1050459	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Mar%202024%2014:05:51%20GMT	https://voixoff.ma/categories/arabic-lebanon	C:/My%20Web%20Sites/voix/voixoff.ma/categories/arabic-lebanon.html	(from https://voixoff.ma/)
15:06:01	1049388/1049388	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Mar%202024%2014:05:56%20GMT	https://voixoff.ma/categories/souss	C:/My%20Web%20Sites/voix/voixoff.ma/categories/souss.html	(from https://voixoff.ma/)
15:06:08	1050459/1050459	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Mar%202024%2014:06:03%20GMT	https://voixoff.ma/categories/atlass-amazigh	C:/My%20Web%20Sites/voix/voixoff.ma/categories/atlass-amazigh.html	(from https://voixoff.ma/)
15:06:15	1049388/1049388	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Mar%202024%2014:06:10%20GMT	https://voixoff.ma/categories/fr-mr	C:/My%20Web%20Sites/voix/voixoff.ma/categories/fr-mr.html	(from https://voixoff.ma/)
15:06:22	1049626/1049626	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Mar%202024%2014:06:17%20GMT	https://voixoff.ma/categories/italien	C:/My%20Web%20Sites/voix/voixoff.ma/categories/italien.html	(from https://voixoff.ma/)
15:06:28	1049983/1049983	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Mar%202024%2014:06:24%20GMT	https://voixoff.ma/categories/uk-english	C:/My%20Web%20Sites/voix/voixoff.ma/categories/uk-english.html	(from https://voixoff.ma/)
15:06:34	1050340/1050340	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Mar%202024%2014:06:29%20GMT	https://voixoff.ma/categories/africaenglish	C:/My%20Web%20Sites/voix/voixoff.ma/categories/africaenglish.html	(from https://voixoff.ma/)
15:06:41	1050459/1050459	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Mar%202024%2014:06:36%20GMT	https://voixoff.ma/categories/german-germany	C:/My%20Web%20Sites/voix/voixoff.ma/categories/german-germany.html	(from https://voixoff.ma/)
15:06:47	1051054/1051054	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Mar%202024%2014:06:42%20GMT	https://voixoff.ma/categories/portuguese-portugal	C:/My%20Web%20Sites/voix/voixoff.ma/categories/portuguese-portugal.html	(from https://voixoff.ma/)
15:06:54	1050816/1050816	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Mar%202024%2014:06:49%20GMT	https://voixoff.ma/categories/portuguese-brazil	C:/My%20Web%20Sites/voix/voixoff.ma/categories/portuguese-brazil.html	(from https://voixoff.ma/)
15:06:55	147997/147997	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Mar%202024%2014:06:55%20GMT	https://voixoff.ma/help/contact	C:/My%20Web%20Sites/voix/voixoff.ma/help/contact.html	(from https://voixoff.ma/)
15:07:01	1044660/1044660	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Mar%202024%2014:06:57%20GMT	https://voixoff.ma/search	C:/My%20Web%20Sites/voix/voixoff.ma/search.html	(from https://voixoff.ma/)
15:07:02	61390/61390	---M--	200	added ('OK')	image/png	etag:%22efce-655fbdc1-9c2f1afd0db002c1;;;%22	https://voixoff.ma/public/img/home/clients.png	C:/My%20Web%20Sites/voix/voixoff.ma/public/img/home/clients.png	(from https://voixoff.ma/)
15:07:02	83981/83981	---M-Z	200	added ('OK')	text/css	etag:%22619c057b-44be%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0-beta3/css/all.min.css	C:/My%20Web%20Sites/voix/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0-beta3/css/all.min.css	(from https://voixoff.ma/)
15:07:09	1036752/1036752	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Mar%202024%2014:07:04%20GMT	https://voixoff.ma/search?language=1	C:/My%20Web%20Sites/voix/voixoff.ma/search53f1.html	(from https://voixoff.ma/)
